 Produto interno bruto per capita - 2010 a 2013, referęncia 2010 - Săo Paulo
PIB per capita por Município
Período:2013
"Município";"PIB_per_capita"
"352320 ITARARE";13750,70
"352330 ITARIRI";11565,37
"352340 ITATIBA";40791,23
"352350 ITATINGA";10509,14
"352360 ITIRAPINA";18862,50
"352370 ITIRAPUA";10490,57
"352380 ITOBI";11216,97
"352390 ITU";40644,73
"352400 ITUPEVA";60739,03
"352410 ITUVERAVA";24572,73
"352420 JABORANDI";16803,36
"352430 JABOTICABAL";27375,91
"352440 JACAREI";37168,04
"352450 JACI";48698,65
"352460 JACUPIRANGA";15861,70
"352470 JAGUARIUNA";124527,70
"352480 JALES";20983,37
"352490 JAMBEIRO";49337,34
"352500 JANDIRA";25055,27
"352510 JARDINOPOLIS";19099,01
"352520 JARINU";45084,79
"352530 JAU";23686,28
"352540 JERIQUARA";21478,56
"352550 JOANOPOLIS";12012,52
"352560 JOAO RAMALHO";29186,81
"352570 JOSE BONIFACIO";30374,83
"352580 JULIO MESQUITA";8172,99
"352585 JUMIRIM";21013,98
"352590 JUNDIAI";92970,39
"352600 JUNQUEIROPOLIS";23092,81
"352610 JUQUIA";11231,21
"352620 JUQUITIBA";13858,41
"352630 LAGOINHA";9269,78
"352640 LARANJAL PAULISTA";25898,02
"352650 LAVINIA";12650,53
"352660 LAVRINHAS";14739,01
"352670 LEME";23670,23
"352680 LENCOIS PAULISTA";33083,65
"352690 LIMEIRA";35620,42
"352700 LINDOIA";15907,43
"352710 LINS";37990,91
"352720 LORENA";18882,66
"352725 LOURDES";13924,29
"352730 LOUVEIRA";278145,26
"352740 LUCELIA";15681,19
"352750 LUCIANOPOLIS";13934,39
"352760 LUIS ANTONIO";82502,96
"352770 LUIZIANIA";10048,33
"352780 LUPERCIO";9488,40
"352790 LUTECIA";26430,09
"352800 MACATUBA";26688,61
"352810 MACAUBAL";15982,16
"352820 MACEDONIA";13672,04
"352830 MAGDA";21775,56
"352840 MAIRINQUE";33096,97
"352850 MAIRIPORA";16367,14
"352860 MANDURI";15466,08
"352870 MARABA PAULISTA";18666,66
"352880 MARACAI";29899,32
"352885 MARAPOAMA";47232,01
"352890 MARIAPOLIS";12938,91
"352900 MARILIA";37241,93
"352910 MARINOPOLIS";11156,62
"352920 MARTINOPOLIS";15224,47
"352930 MATAO";39104,04
"352940 MAUA";23012,73
"352950 MENDONCA";33639,32
"352960 MERIDIANO";53483,56
"352965 MESOPOLIS";20906,59
"352970 MIGUELOPOLIS";24985,58
"352980 MINEIROS DO TIETE";10795,16
"352990 MIRACATU";21269,23
"353000 MIRA ESTRELA";13143,12
"353010 MIRANDOPOLIS";18083,86
"353020 MIRANTE DO PARANAPANEMA";16785,54
"353030 MIRASSOL";25589,46
"353040 MIRASSOLANDIA";13742,52
"353050 MOCOCA";24917,85
